timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662922686893,129,object_info_1,200,OK,HW_1 1-5,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,129,0,63
1662922686904,127,object_info_3,200,OK,HW_1 1-1,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,127,0,63
1662922686973,125,object_info_2,200,OK,HW_1 1-3,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,125,0,61
1662922686992,126,user_info_2,200,OK,HW_1 1-4,text,true,,463,244,5,5,http://162.55.220.72:5005/user_info_2,126,0,61
1662922686992,137,user_info_2,200,OK,HW_1 1-2,text,true,,463,244,5,5,http://162.55.220.72:5005/user_info_2,137,0,67
1662922687022,112,object_info_2,200,OK,HW_1 1-5,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,112,0,55
1662922687032,150,object_info_4,200,OK,HW_1 1-1,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,150,0,73
1662922687099,109,object_info_3,200,OK,HW_1 1-3,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,109,0,53
1662922687118,133,user_info_3,200,OK,HW_1 1-4,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,133,0,64
1662922687134,140,object_info_3,200,OK,HW_1 1-5,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,140,0,69
1662922687129,151,user_info_3,200,OK,HW_1 1-2,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,151,0,73
1662922687182,134,get_method,200,OK,HW_1 1-1,text,true,,168,147,5,5,http://162.55.220.72:5005/get_method?name=Ivan&age=32,134,0,66
1662922687208,126,object_info_4,200,OK,HW_1 1-3,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,126,0,62
1662922687251,116,object_info_1,200,OK,HW_1 1-4,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,116,0,58
1662922687275,114,object_info_4,200,OK,HW_1 1-5,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,113,0,56
